word,fruit
knife,0
frame,0
raspberry,1
peach,1
woman,0
hair,0
hammer,0
cup,0
banana,1
foot,0
horse,0
boy,0
mango,1
nectarine,1
blueberry,1
girl,0
clip,0
church,0
school,0
glove,0
strawberry,1
gun,0
pear,1
watermelon,1
fork,0
orange,1
pineapple,1
raspberry,1
circle,0
peach,1
toast,0
table,0
dog,0
hotel,0
orange,1
frame,0
sausage,0
pineapple,1
banana,1
garden,0
cloud,0
clock,0
girl,0
bed,0
pen,0
tree,0
laptop,0
oven,0
boy,0
watch,0
goat,0
hand,0
ray,0
parcel,0
chair,0
fly,0
wall,0
trousers,0
